exch,symbol,token
NSE,NIFTY 50,26000
NSE,NIFTY GROWSECT 15,26001
NSE,NIFTY50 PR 2X LEV,26002
NSE,NIFTY 500,26004
NSE,NIFTY IT,26008
NSE,NIFTY BANK,26009
NSE,NIFTY MIDCAP 100,26011
NSE,NIFTY 100,26012
NSE,NIFTY NEXT 50,26013
NSE,NIFTY MIDCAP 50,26014
NSE,INDIA VIX,26017
NSE,NIFTY REALTY,26018
NSE,NIFTY INFRA,26019
NSE,NIFTY ENERGY,26020
NSE,NIFTY FMCG,26021
NSE,NIFTY MNC,26022
NSE,NIFTY PHARMA,26023
NSE,NIFTY PSE,26024
NSE,NIFTY PSU BANK,26025
NSE,NIFTY SERV SECTOR,26026
NSE,NIFTY AUTO,26029
NSE,NIFTY METAL,26030
NSE,NIFTY MEDIA,26031
NSE,NIFTY SMLCAP 100,26032
NSE,NIFTY 200,26033
NSE,NIFTY DIV OPPS 50,26034
NSE,NIFTY COMMODITIES,26035
NSE,NIFTY CONSUMPTION,26036
NSE,NIFTY FIN SERVICE,26037
NSE,NIFTY50 DIV POINT,26038
NSE,NIFTY100 LIQ 15,26040
NSE,NIFTY CPSE,26041
NSE,NIFTY50 PR 1X INV,26042
NSE,NIFTY50 TR 2X LEV,26043
NSE,NIFTY50 TR 1X INV,26044
NSE,NIFTY50 VALUE 20,26045
NSE,NIFTY MID LIQ 15,26046
NSE,NIFTY PVT BANK,26047
NSE,NIFTY100 QUALTY30,26048
NSE,NIFTY GS 8 13YR,26049
NSE,NIFTY GS 10YR,26050
NSE,NIFTY GS 10YR CLN,26051
NSE,NIFTY GS 4 8YR,26052
NSE,NIFTY GS 11 15YR,26053
NSE,NIFTY GS 15YRPLUS,26054
NSE,NIFTY GS COMPSITE,26055
NSE,NIFTY50 EQL WGT,26056
NSE,NIFTY100 EQL WGT,26057
NSE,NIFTY100 LOWVOL30,26058
NSE,NIFTY ALPHA 50,26059
NSE,NIFTY MIDCAP 150,26060
NSE,NIFTY SMLCAP 50,26061
NSE,NIFTY SMLCAP 250,26062
NSE,NIFTY MIDSML 400,26063
NSE,NIFTY200 QUALTY30,26064
NSE,NIFTY ALPHALOWVOL,26066
BSE,SENSEX,1
BSE,BSE100,2
BSE,BSE200,3
BSE,BSE500,4
BSE,BSE CG,7
BSE,BSE CD,8
BSE,BSEPSU,10
BSE,TECK,11
BSE,BANKEX,12
BSE,AUTO,13
BSE,METAL,14
BSE,OILGAS,15
BSE,REALTY,21
BSE,POWER,22
BSE,BSEIPO,23
BSE,GREENX,25
BSE,CARBON,26
BSE,SMEIPO,27
BSE,INFRA,28
BSE,CPSE,29
BSE,MIDCAP,30
BSE,SMLCAP,31
BSE,BSEFMC,32
BSE,BSE HC,33
BSE,BSE IT,34
BSE,MFG,35
BSE,ALLCAP,36
BSE,BASMTR,37
BSE,CDGS,38
BSE,ENERGY,39
BSE,FIN,40
BSE,INDSTR,41
BSE,LRGCAP,42
BSE,MIDSEL,43
BSE,SMLSEL,44
BSE,TELCOM,45
BSE,UTILS,46
BSE,SNSX50,47
BSE,SNXT50,48
BSE,BHRT22,49
BSE,ESG100,50
BSE,MID150,55
BSE,SML250,56
BSE,LMI250,57
BSE,MSL400,58
BSE,BSEDSI,59
BSE,BSEEVI,60
BSE,BSELVI,61
BSE,BSEMOI,62
BSE,BSEQUI,63
BSE,DFRGRI,64
BSE,LCTMCI,65
BSE,BSEPBI,66
MCX,MCXAGRI,500201
MCX,MCXCOMDEX,500202
MCX,MCXENERGY,500203
MCX,MCXMETAL,500204
