,ltp,Tsym,openi,pdopeni
35506,368.6,BANKNIFTY17JAN24C47800,1532340.0,1050105
35508,312.3,BANKNIFTY17JAN24C47900,1100475.0,608865
35510,261.75,BANKNIFTY17JAN24C48000,2497200.0,1749225
35512,217.2,BANKNIFTY17JAN24C48100,731505.0,448110
35516,177.55,BANKNIFTY17JAN24C48200,1107555.0,832590
35522,143.55,BANKNIFTY17JAN24C48300,741015.0,559260
35544,114.65,BANKNIFTY17JAN24C48400,856905.0,595125
35548,90.4,BANKNIFTY17JAN24C48500,1725555.0,1421730
35550,71.1,BANKNIFTY17JAN24C48600,662055.0,779115
35552,55.3,BANKNIFTY17JAN24C48700,738720.0,540795
35500,429.05,BANKNIFTY17JAN24C47700,1056540.0,1111995
35498,494.55,BANKNIFTY17JAN24C47600,829920.0,1401690
35496,565.25,BANKNIFTY17JAN24C47500,1597350.0,2169840
35494,640.1,BANKNIFTY17JAN24C47400,448395.0,700050
35492,716.25,BANKNIFTY17JAN24C47300,393630.0,496770
35486,796.7,BANKNIFTY17JAN24C47200,173175.0,191565
35484,883.5,BANKNIFTY17JAN24C47100,90285.0,77385
35482,969.5,BANKNIFTY17JAN24C47000,240435.0,220200
35480,1051.65,BANKNIFTY17JAN24C46900,23370.0,25635
35478,1145.0,BANKNIFTY17JAN24C46800,27795.0,33435
35507,273.35,BANKNIFTY17JAN24P47800,1477950.0,144495
35509,316.65,BANKNIFTY17JAN24P47900,755250.0,66675
35511,366.0,BANKNIFTY17JAN24P48000,934845.0,363960
35513,421.3,BANKNIFTY17JAN24P48100,124755.0,25575
35517,483.55,BANKNIFTY17JAN24P48200,143025.0,58845
35523,547.05,BANKNIFTY17JAN24P48300,58200.0,40680
35545,623.5,BANKNIFTY17JAN24P48400,28905.0,18780
35549,693.55,BANKNIFTY17JAN24P48500,117240.0,59145
35551,779.7,BANKNIFTY17JAN24P48600,17760.0,13320
35553,858.9,BANKNIFTY17JAN24P48700,11460.0,9795
35501,233.2,BANKNIFTY17JAN24P47700,1888410.0,255675
35499,199.4,BANKNIFTY17JAN24P47600,1974870.0,524880
35497,169.35,BANKNIFTY17JAN24P47500,3561735.0,1425570
35495,144.1,BANKNIFTY17JAN24P47400,1554930.0,769815
35493,121.9,BANKNIFTY17JAN24P47300,1375155.0,735990
35487,103.1,BANKNIFTY17JAN24P47200,1274580.0,842385
35485,87.05,BANKNIFTY17JAN24P47100,760980.0,320370
35483,74.2,BANKNIFTY17JAN24P47000,2206935.0,1491075
35481,62.2,BANKNIFTY17JAN24P46900,712950.0,408270
35479,52.9,BANKNIFTY17JAN24P46800,825225.0,379530
